Censo;Codigo;Departamento;Poblacion;Varones; Mujeres;VivPartTot;VivColectTot;IndMasc;Superficie;De  nsPob
1991;6028;Almirante Brown;450698;222042;228656;;;;122;
1991;6035;Avellaneda;344991;164243;180748;;;;55;
1991;6091;Berazategui;244929;120870;124059;;;;188;
1991;6260;Esteban Echeverría (1);275793;136784;139009;;;;377;
1991;6270;Ezeiza (2);;;;;;;;
1991;6274;Florencio Varela (3) ;254997;127717;127280;;;;206;
1991;6371;General San Martín;406809;196417;210392;;;;56;
1991;6005;General Sarmiento (4);652969;324845;328124;;;;196;
1991;6408;Hurlingham  (5);;;;;;;;
1991;6410;Ituzaingó (6);;;;;;;;
1991;6412;José C. Paz (7);;;;;;;;
1991;6427;La Matanza;1121298;551408;569890;;;;323;
1991;6434;Lanús;468561;224537;244024;;;;45;
1991;6490;Lomas de Zamora;574330;278877;295453;;;;89;
1991;6515;Malvinas Argentinas (8);;;;;;;;
1991;6539;Merlo;390858;193521;197337;;;;170;
1991;6560;Moreno;287715;143364;144351;;;;180;
1991;6568;Morón (9);643553;311351;332202;;;;131;
1991;6658;Quilmes;511234;248766;262468;;;;125;
1991;6749;San Fernando;144763;70415;74348;;;;924;
1991;6756;San Isidro;299023;142342;156681;;;;48;
1991;6760;San Miguel (10);;;;;;;;
1991;6805;Tigre;257922;127987;129935;;;;360;
1991;6840;Tres de Febrero;349376;167417;181959;;;;46;
1991;6861;Vicente López;289505;135426;154079;;;;39;
