Censo;Codigo;Departamento;Poblacion;Varones; Mujeres;VivPartTot;VivColectTot;IndMasc;Superficie;DensPob
2022;6028;Almirante Brown;585852;281842;301779;184403;60;;;
2022;6035;Avellaneda;370939;174572;194911;144988;64;;;
2022;6091;Berazategui;360582;173892;186255;117699;37;;;
2022;6260;Esteban Echeverría;339030;163974;174468;109969;40;;;
2022;6270;Ezeiza;203283;97766;102703;65987;18;;;
2022;6274;Florencio Varela;497818;239305;250192;145546;26;;;
2022;6371;General San Martín;450335;213300;233690;175969;113;;;
2022;6408;Hurlingham;187122;89551;97118;66033;19;;;
2022;6410;Ituzaingó;179788;84855;92708;64175;37;;;
2022;6412;José C. Paz;323918;157631;165831;97098;27;;;
2022;6427;La Matanza;1837774;883023;950847;577276;126;;;
2022;6434;Lanús;462051;218238;242328;179531;71;;;
2022;6490;Lomas de Zamora;694330;332115;359231;235524;13;;;
2022;6515;Malvinas Argentinas;351788;170055;180317;102499;35;;;
2022;6539;Merlo;580806;281098;298729;180037;49;;;
2022;6560;Moreno;574374;280118;293251;185037;69;;;
2022;6568;Morón;334178;156891;175565;141866;74;;;
2022;6658;Quilmes;636026;304299;329672;221757;94;;;
2022;6749;San Fernando;172524;81719;89879;62326;74;;;
2022;6756;San Isidro;298777;139818;157584;121246;78;;;
2022;6760;San Miguel;326215;157244;168569;107723;50;;;
2022;6805;Tigre;447785;215056;228822;152750;54;;;
2022;6840;Tres de Febrero;366377;173299;191265;149029;67;;;
2022;6861;Vicente López;283510;131723;149903;126139;88;;;
