Codigo;Departamento;PartidoFrom;CodigoFrom;Sup1991;Sup2001;IsAMBA;Comentarios
6028;Almirante Brown;;;122;122;TRUE;
6035;Avellaneda;;;55;55;TRUE;
6091;Berazategui;;;188;188;TRUE;
6260;Esteban Echeverría;;;377;120;TRUE;(1) Partido cuya superficie ha sido modificada, cede tierras a los partidos de Cañuelas y San Vicente  y para la creación de los partidos de Ezeiza y Presidente Perón. Leyes provinciales 11.550 del 20/10/1994 y 11.480 del 25/11/1993.
6270;Ezeiza;Esteban Echeverría;6260;0;223;TRUE;(2) Se crea con tierras del partido de Esteban Echeverría. Ley provincial 11.550 del 20/10/1994.
6274;Florencio Varela;;;206;190;TRUE;(3) Partido cuya superficie ha sido modificada, cede tierras para la creación del partido de  Presidente Perón. Ley provincial 11.480 del 25/11/1993.
6371;General San Martín;;;56;56;TRUE;
6408;Hurlingham;Morón;6568;0;36;TRUE;(4) Se crea con tierras del partido de Morón. Ley provincial 11.610 del 28/12/1994.
6410;Ituzaingó;Morón;6568;0;39;TRUE;(5) Se crea con tierras del partido de Morón. Ley provincial 11.610 del 28/12/1994. 
6412;José C. Paz;General Sarmiento;6005;0;50;TRUE;(6) Se crea con tierras del partido de General Sarmiento. Ley provincial 11.551 del 20/10/1994. 
6427;La Matanza;;;323;323;TRUE;
6434;Lanús;;;45;45;TRUE;
6490;Lomas de Zamora;;;89;89;TRUE;
6515;Malvinas Argentinas;General Sarmiento;6005;0;63;TRUE;(7) Se crea con tierras del partido de General Sarmiento e incorpora un sector del partido de Pilar. Ley provincial 11.551 del 20/10/1994.
6539;Merlo;;;170;170;TRUE;
6560;Moreno;;;180;180;TRUE;
6568;Morón;;;131;56;TRUE;(8) Partido cuya superficie ha sido modificada, cede tierras para la creación de los partidos de Hurlingham e Ituzaingó. Ley provincial 11.610 del 28/12/1994.
6658;Quilmes;;;125;125;TRUE;
6749;San Fernando;;;924;924;TRUE;
6756;San Isidro;;;48;48;TRUE;
6760;San Miguel;General Sarmiento;6005;0;80;TRUE;(9) Se crea con tierras del partido de General Sarmiento. Ley provincial 11.551 del 20/10/1994. 
6805;Tigre;;;360;360;TRUE;
6840;Tres De Febrero;;;46;46;TRUE;
6861;Vicente López;;;39;39;TRUE;
6005;General Sarmiento;;;196;0;TRUE;Desaparece para  el año 2001
6007;Adolfo Alsina;;;;;FALSE;
6001;Adolfo Gonzales Chaves;;;;;FALSE;
6021;Alberti;;;;;FALSE;
6042;Ayacucho;;;;;FALSE;
6049;Azul;;;;;FALSE;
6056;Bahía Blanca;;;;;FALSE;
6063;Balcarce;;;;;FALSE;
6070;Baradero;;;;;FALSE;
6003;Bartolomé Mitre;;;;;FALSE;
6084;Benito Juárez;;;;;FALSE;
6098;Berisso;;;;;FALSE;
6105;Bolívar;;;;;FALSE;
6112;Bragado;;;;;FALSE;
6119;Brandsen;;;;;FALSE;
6126;Campana;;;;;FALSE;
6134;Cañuelas;Esteban Echeverría;6260;;;FALSE;
6140;Capitán Sarmiento;;;;;FALSE;
6147;Carlos Casares;;;;;FALSE;
6154;Carlos Tejedor;;;;;FALSE;
6161;Carmen de Areco;;;;;FALSE;
6168;Castelli;;;;;FALSE;
6175;Colón;;;;;FALSE;
6004;Coronel de Marina Leonardo Rosales;;;;;FALSE;
6189;Coronel Dorrego;;;;;FALSE;
6196;Coronel Pringles;;;;;FALSE;
6203;Coronel Suárez;;;;;FALSE;
6210;Chacabuco;;;;;FALSE;
6217;Chascomús;;;;;FALSE;
6224;Chivilcoy;;;;;FALSE;
6231;Daireaux;;;;;FALSE;
6238;Dolores;;;;;FALSE;
6245;Ensenada;;;;;FALSE;
6252;Escobar;;;;;FALSE;
6266;Exaltación de la Cruz;;;;;FALSE;
6277;Florentino Ameghino;;;;;FALSE;
6280;General Alvarado;;;;;FALSE;
6287;General Alvear;;;;;FALSE;
6294;General Arenales;;;;;FALSE;
6301;General Belgrano;;;;;FALSE;
6308;General Guido;;;;;FALSE;
6315;General Juan Madariaga;;;;;FALSE;
6322;General La Madrid;;;;;FALSE;
6329;General Las Heras;;;;;FALSE;
6336;General Lavalle;;;;;FALSE;
6343;General Paz;;;;;FALSE;
6351;General Pinto;;;;;FALSE;
6357;General Pueyrredón;;;;;FALSE;
6364;General Rodríguez;;;;;FALSE;
6385;General Viamonte;;;;;FALSE;
6392;General Villegas;;;;;FALSE;
6399;Guaminí;;;;;FALSE;
6406;Hipólito Yrigoyen;;;;;FALSE;
6413;Junín;;;;;FALSE;
6420;La Costa;;;;;FALSE;
6441;La Plata;;;;;FALSE;
6448;Laprida;;;;;FALSE;
6455;Las Flores;;;;;FALSE;
6462;Leandro N. Alem;;;;;FALSE;
6469;Lincoln;;;;;FALSE;
6476;Lobería;;;;;FALSE;
6483;Lobos;;;;;FALSE;
6497;Luján;;;;;FALSE;
6505;Magdalena;;;;;FALSE;
6511;Maipú;;;;;FALSE;
6518;Mar Chiquita;;;;;FALSE;
6525;Marcos Paz;;;;;FALSE;
6532;Mercedes;;;;;FALSE;
6547;Monte;;;;;FALSE;
6553;Monte Hermoso;;;;;FALSE;
6574;Navarro;;;;;FALSE;
6581;Necochea;;;;;FALSE;
6588;9 De Julio;;;;;FALSE;
6595;Olavarría;;;;;FALSE;
6602;Patagones;;;;;FALSE;
6609;Pehuajó;;;;;FALSE;
6616;Pellegrini;;;;;FALSE;
6623;Pergamino;;;;;FALSE;
6630;Pila;;;;;FALSE;
6638;Pilar;;;;;FALSE;
6644;Pinamar;;;;;FALSE;
6651;Puán;;;;;FALSE;
6665;Ramallo;;;;;FALSE;
6672;Rauch;;;;;FALSE;
6679;Rivadavia;;;;;FALSE;
6686;Rojas;;;;;FALSE;
6693;Roque Pérez;;;;;FALSE;
6700;Saavedra;;;;;FALSE;
6707;Saladillo;;;;;FALSE;
6714;Salto;;;;;FALSE;
6721;Salliqueló;;;;;FALSE;
6728;San Andrés de Giles;;;;;FALSE;
6735;San Antonio de Areco;;;;;FALSE;
6742;San Cayetano;;;;;FALSE;
6763;San Nicolás;;;;;FALSE;
6770;San Pedro;;;;;FALSE;
6778;San Vicente;Esteban Echeverría;6260;;;FALSE;
6784;Suipacha;;;;;FALSE;
6791;Tandil;;;;;FALSE;
6798;Tapalqué;;;;;FALSE;
6812;Tordillo;;;;;FALSE;
6819;Tornquist;;;;;FALSE;
6826;Trenque Lauquen;;;;;FALSE;
6833;Tres Arroyos;;;;;FALSE;
6847;Tres Lomas;;;;;FALSE;
6854;25 De Mayo;;;;;FALSE;
6868;Villa Gesell;;;;;FALSE;
6875;Villarino;;;;;FALSE;
6882;Zárate;;;;;FALSE;
