,nam,Standard Deviation,Coefficient of Variation,Mean
0,Almirante Brown,4.542866202446792,49.396877880900234,9.196666666666667
1,Avellaneda,6.586858128121479,254.3188466456169,2.5900000000000003
2,Berazategui,3.3288786900897027,24.133968270345836,13.793333333333335
3,Esteban Echeverría,17.87861944707514,219.1902670258497,8.156666666666666
4,Ezeiza,9.652007563196376,31.150581130212608,30.985
5,Florencio Varela,10.369768560580319,41.05213206880569,25.26
6,General San Martín,4.866305922702901,138.11653517605208,3.5233333333333334
7,Hurlingham,1.4000714267493635,33.09861528958306,4.23
8,Ituzaingó,0.7000357133746822,10.550651294268006,6.635
9,José C. Paz,4.412346314604058,23.64601454771735,18.66
10,La Matanza,19.9394182462779,105.11027014379495,18.97
11,Lanús,2.5022056936497714,-564.4072993194975,-0.4433333333333332
12,Lomas de Zamora,5.274327761272837,79.75293993860137,6.613333333333333
13,Malvinas Argentinas,1.2586500705120554,12.573926778342212,10.01
14,Merlo,5.386746080272702,37.94373853209229,14.196666666666665
15,Moreno,6.710084450536619,25.7749722811906,26.03333333333333
16,Morón,32.251089904063704,-219.54451942861607,-14.69
17,Quilmes,5.589224752444056,73.02994014517495,7.653333333333332
18,San Fernando,1.8293259232114247,30.320319169250133,6.033333333333334
19,San Isidro,2.2979120957947887,-22979.120957947867,-0.010000000000000009
20,San Miguel,6.349818895055196,46.621284104663694,13.620000000000001
21,Tigre,4.224894475999765,20.877422875966555,20.236666666666665
22,Tres de Febrero,5.741535799185905,336.4181132335491,1.7066666666666668
23,Vicente López,5.365249295233167,-894.2082158721947,-0.5999999999999999
