nam,cod_depto,anio,pob,var,muj,vivpart,vivtotal,sup,ind_masc,dens_pob,TMI,TGF,TBN,TBM,TCV,Mat1ria,Pred_LR,MAPE_LR,MSE_LR,RMSE_LR,PredRegTree,MAPE_RT,MSE_RT,RMSE_RT,Pred_RF,MSE_RF,RMSE_RF,MAPE_RF,Pred_LGB,MSE_LGB,RMSE_LGB,MAPE_LGB
Almirante Brown,6028,1991,450698.0,222042.0,228656.0,,,157.87,97.1,2854.87,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Almirante Brown,6028,2010,552902.0,270247.0,282655.0,156218.0,78.0,157.87,95.6,3502.26,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Almirante Brown,6028,2022,585852.0,281842.0,301779.0,184403.0,60.0,157.87,93.4,3710.98,7.9,1.89,9.7,8.8,0.899,1767473.0,602696,2.88,284000000.0,16844.7,552902,5.6000000000000005,1085702500,32950.0,521336.0,4162334901.145597,64516.15999999997,11.012,506385.0,6314951111.1111145,79466.66666666669,13.564290412368088
Almirante Brown,6028,2001,515556.0,252454.0,263102.0,143543.0,88.0,157.87,96.0,3265.7,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
Avellaneda,6035,2001,328980.0,155450.0,173530.0,117200.0,59.0,68.54,89.6,4799.82,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
Avellaneda,6035,1991,344991.0,164243.0,180748.0,,,68.54,90.9,5033.43,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Avellaneda,6035,2010,342677.0,162264.0,180413.0,121307.0,68.0,68.54,89.9,4999.66,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Avellaneda,6035,2022,370939.0,174572.0,194911.0,144988.0,64.0,68.54,89.6,5412.01,7.9,1.89,9.7,8.8,0.899,1767473.0,360939,2.7,100000000.0,9999.3,342677,7.6,798740644,28262.0,337916.0,1090548910.371601,33023.46000000002,8.903,338883.0,1027608506.7777765,32056.333333333314,8.641942026406852
Berazategui,6091,2010,324244.0,158608.0,165636.0,96029.0,37.0,268.91,95.8,1205.77,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Berazategui,6091,2022,360582.0,173892.0,186255.0,117699.0,37.0,268.91,93.4,1340.9,7.9,1.89,9.7,8.8,0.899,1767473.0,372685,3.36,146000000.0,12103.3,287913,20.200000000000003,5280783561,72669.0,295665.0,4214197413.922497,64916.84999999998,18.003,285695.0,5608012844.4444475,74886.66666666669,20.768276471556174
Berazategui,6091,2001,287913.0,141163.0,146750.0,81511.0,38.0,268.91,96.2,1070.67,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
Berazategui,6091,1991,244929.0,120870.0,124059.0,,,268.91,97.4,910.82,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Esteban Echeverría,6260,2022,339030.0,163974.0,174468.0,109969.0,40.0,148.12,94.0,2288.89,7.9,1.89,9.7,8.8,0.899,1767473.0,376939,11.18,1440000000.0,37909.0,243974,28.000000000000004,9035643136,95056.0,278778.0,3630275788.132902,60251.77000000002,17.772,273575.0,4284313388.444447,65454.666666666686,19.306452722964544
Esteban Echeverría,6260,2010,300959.0,147980.0,152979.0,88164.0,26.0,148.12,96.7,2031.86,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Esteban Echeverría,6260,2001,243974.0,120110.0,123864.0,70535.0,26.0,148.12,97.0,1647.14,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
Esteban Echeverría,6260,1991,275793.0,136784.0,139009.0,,,148.12,98.4,1861.96,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Ezeiza,6270,1991,,,,,,291.0,,,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Ezeiza,6270,2001,118807.0,59337.0,59470.0,35207.0,116.0,291.0,99.8,408.27,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
Ezeiza,6270,2010,163722.0,81902.0,81820.0,49210.0,26.0,291.0,100.1,562.62,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Ezeiza,6270,2022,203283.0,97766.0,102703.0,65987.0,18.0,291.0,95.2,698.57,7.9,1.89,9.7,8.8,0.899,1767473.0,223608,10.0,413000000.0,20325.7,118807,41.6,7136194576,84476.0,,,,,,,,
Florencio Varela,6274,1991,254997.0,127717.0,127280.0,,,231.51,100.3,1101.45,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Florencio Varela,6274,2022,497818.0,239305.0,250192.0,145546.0,26.0,231.51,95.6,2150.31,7.9,1.89,9.7,8.8,0.899,1767473.0,528718,6.21,955000000.0,30900.3,426005,14.4,5157106969,71813.0,367660.0,16941016456.675592,130157.65999999996,26.146,343324.0,23868396036.0,154494.0,31.034233394533743
Florencio Varela,6274,2010,426005.0,212909.0,213096.0,113997.0,51.0,231.51,99.9,1840.11,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Florencio Varela,6274,2001,348970.0,174590.0,174380.0,91293.0,53.0,231.51,100.1,1507.36,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
